protocol_version,method,J,K,rep,seed_service,seed_lateness,algorithm_seed,budget_sec,pop_size,elite_size,mutant_size,inheritance_prob,max_generations,stall_generations,timing_mode,status,train_obj,validated_obj,validation_status,validation_max_violation,runtime_sec,best_gen,evaluations,feasible_evaluations,test_K,test_mean_direct,test_p95_direct,test_direct_exceed_rate,test_mean_indirect,test_p95_indirect,test_indirect_exceed_rate
EJOR-KBRKGA-PROTOCOL,K-BRKGA,16,100,7,12765,12766,30012765,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,16.391818818288527,16.391818818288527,PASS,0.0,3.558271646499634,11,2980,2980,1000,0.48151270490737463,1.7303335629834866,0.02365,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,16,100,8,12865,12866,30012865,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,16.77660965341525,16.77660965341525,PASS,0.0,4.262279033660889,18,3540,3540,1000,0.4705365459317792,1.7056585012565864,0.022075,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,16,100,9,12965,12966,30012965,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,16.79453230898335,16.79453230898335,PASS,0.0,3.6155760288238525,11,2980,2980,1000,0.4798049049155654,1.729349101389636,0.023225,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,20,100,0,12065,12066,30012065,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,21.045059738221624,21.045059738221624,PASS,0.0,5.800707578659058,23,3940,3940,1000,0.4850178718480496,1.7353276960674804,0.02706,2.584278723915645e-07,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,20,100,1,12165,12166,30012165,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,20.739238028668808,20.739238028668808,PASS,0.0,7.272599220275879,36,4980,4980,1000,0.49038776230594233,1.7537808479184678,0.02702,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,20,100,2,12265,12266,30012265,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,21.75065407703653,21.75065407703653,PASS,0.0,8.48218321800232,47,5860,5860,1000,0.496210328688135,1.7852932437552964,0.02844,1.518501157799316e-07,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,20,100,3,12365,12366,30012365,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,21.308685324321715,21.308685324321715,PASS,0.0,5.262695550918579,19,3620,3620,1000,0.48806366338816415,1.7729995263304092,0.02912,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,20,100,4,12465,12466,30012465,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,20.51535324391017,20.51535324391017,PASS,0.0,6.521097421646118,30,4500,4500,1000,0.4997604970421555,1.8140914105849695,0.02868,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,20,100,5,12565,12566,30012565,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,20.551926593271048,20.551926593271048,PASS,0.0,5.03292441368103,17,3460,3460,1000,0.4975041758735194,1.810303135628054,0.03006,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,20,100,6,12665,12666,30012665,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,20.825647066533577,20.825647066533577,PASS,0.0,7.041894197463989,34,4820,4820,1000,0.4889727740376844,1.7612350320676795,0.02782,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,20,100,7,12765,12766,30012765,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,20.71656842147894,20.71656842147894,PASS,0.0,4.324737548828125,11,2980,2980,1000,0.4937986605243448,1.779610213540658,0.02846,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,20,100,8,12865,12866,30012865,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,20.988387630148168,20.988387630148168,PASS,0.0,6.926939249038696,33,4740,4740,1000,0.49638429684961805,1.7954107745469212,0.02984,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,20,100,9,12965,12966,30012965,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,20.5167686612819,20.5167686612819,PASS,0.0,5.3949761390686035,20,3700,3700,1000,0.4940348486390763,1.8123343272245003,0.03012,0.0,0.0,0.0
