protocol_version,J,K,rep,seed_service,seed_lateness,method,status,certified,validated_obj,alpha_sum,beta_sum,avg_direct_burden,avg_indirect_burden,avg_total_burden,validation_max_violation,runtime_sec,scenario_seed_mode
EJOR-SECTION52-PROTOCOL,4,200,2,2045,2045,SS-MILP,PASS,0,3.1960861396146356,13.31058517459444,19.49332868579092,0.04823580423425988,0.4844452190348463,0.5326810232691062,0.0,0.12607169151306152,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,2,2045,2045,DE-MILP,PASS,1,0.3115832837601218,13.288416716239878,22.4,0.051930547293353335,0.0,0.051930547293353335,0.0,39.21218681335449,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,2,2045,2045,SS-BW,PASS,0,5.991657877836246,7.608342122163755,22.4,0.9986096463060408,0.0,0.9986096463060408,0.0,0.0010004043579101562,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,2,2045,2045,SS-MILP,PASS,0,1.162848373770622,13.288416716239878,21.5487349099895,0.051930547293353335,0.14187751500175017,0.1938080622951035,0.0,0.47788548469543457,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,3,2055,2055,DE-MILP,PASS,1,0.30841957716499735,13.291580422835002,22.4,0.05140326286083267,0.0,0.05140326286083267,0.0,0.07000112533569336,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,3,2055,2055,SS-BW,PASS,0,6.024824932737509,7.575175067262494,22.4,1.0041374887895842,0.0,1.0041374887895842,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,3,2055,2055,SS-MILP,PASS,0,3.2967271826060554,13.21440800516396,19.488864812229984,0.06426533247267296,0.48518919796166937,0.5494545304343423,0.0,0.019000768661499023,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,3,2055,2055,DE-MILP,PASS,1,0.2751939018060199,13.324806098193974,22.4,0.04586565030100387,0.0,0.04586565030100387,0.0,0.3520541191101074,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,3,2055,2055,SS-BW,PASS,0,5.986814665761468,7.613185334238533,22.4,0.9978024442935777,0.0,0.9978024442935777,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,3,2055,2055,SS-MILP,PASS,0,3.1991999728506215,13.324806098193974,19.475993928955404,0.04586565030100387,0.48733434517409946,0.5331999954751033,0.0,0.040622711181640625,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,3,2055,2055,DE-MILP,PASS,1,0.3090307064398061,13.290969293560188,22.4,0.05150511773996843,0.0,0.05150511773996843,0.0,4.778854131698608,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,3,2055,2055,SS-BW,PASS,0,6.053358369391773,7.546641630608226,22.4,1.0088930615652956,0.0,1.0088930615652956,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,3,2055,2055,SS-MILP,PASS,0,3.2292714170900254,13.277727819642356,19.493000763267613,0.05371203005960697,0.48449987278873113,0.5382119028483381,0.0,0.12594199180603027,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,3,2055,2055,DE-MILP,PASS,1,0.3137057669425545,13.286294233057442,22.4,0.052284294490426375,0.0,0.052284294490426375,0.0,25.52919101715088,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,3,2055,2055,SS-BW,PASS,0,6.029666219745565,7.57033378025444,22.4,1.0049443699575933,0.0,1.0049443699575933,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,3,2055,2055,SS-MILP,PASS,0,1.1637338673323327,13.286294233057442,21.549971899610227,0.052284294490426375,0.14167135006496193,0.1939556445553883,0.0,0.3629574775695801,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,4,2065,2065,DE-MILP,PASS,1,0.2348646353693482,13.365135364630653,22.4,0.03914410589489111,0.0,0.03914410589489111,0.0,0.07230305671691895,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,4,2065,2065,SS-BW,PASS,0,5.949414105528856,7.650585894471145,22.4,0.9915690175881423,0.0,0.9915690175881423,0.0,0.0009522438049316406,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,4,2065,2065,SS-MILP,PASS,0,1.0765746372470915,13.365135364630653,21.558289998122255,0.03914410589489111,0.1402850003129572,0.17942910620784833,0.0,0.015996217727661133,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,4,2065,2065,DE-MILP,PASS,1,0.26759655020972417,13.332403449790274,22.4,0.04459942503495443,0.0,0.04459942503495443,0.0,0.3649575710296631,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,4,2065,2065,SS-BW,PASS,0,6.034157972636869,7.565842027363131,22.4,1.005692995439478,0.0,1.005692995439478,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,4,2065,2065,SS-MILP,PASS,0,1.1049088725590437,13.332403449790274,21.562687677650683,0.04459942503495443,0.139552053724886,0.18415147875984042,0.0,0.037000179290771484,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,4,2065,2065,DE-MILP,PASS,1,0.2936002916372331,13.306399708362767,22.4,0.04893338193953878,0.0,0.04893338193953878,0.0,4.925953149795532,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,4,2065,2065,SS-BW,PASS,0,6.035677498245658,7.564322501754342,22.4,1.0059462497076097,0.0,1.0059462497076097,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,4,2065,2065,SS-MILP,PASS,0,1.1330418866303589,13.306399708362767,21.560558405006873,0.04893338193953878,0.13990693249885436,0.18884031443839314,0.0,0.12788820266723633,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,4,2065,2065,DE-MILP,PASS,1,0.31711203769100393,13.282887962308997,22.4,0.05285200628183392,0.0,0.05285200628183392,0.0,27.39574432373047,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,4,2065,2065,SS-BW,PASS,0,6.019546149321833,7.580453850678168,22.4,1.0032576915536386,0.0,1.0032576915536386,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,4,2065,2065,SS-MILP,PASS,0,1.161244372377169,13.280145347607363,21.558610280015465,0.05330910873210618,0.14023161999742215,0.19354072872952832,0.0,0.325061559677124,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,5,2075,2075,DE-MILP,PASS,1,0.23586030478823972,13.364139695211753,22.4,0.039310050798040876,0.0,0.039310050798040876,0.0,0.07125186920166016,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,5,2075,2075,SS-BW,PASS,0,5.99091384796597,7.60908615203403,22.4,0.9984856413276616,0.0,0.9984856413276616,0.0,0.0009996891021728516,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,5,2075,2075,SS-MILP,PASS,0,3.182124222666843,13.364139695211755,19.4537360821214,0.039310050798040806,0.4910439863130998,0.5303540371111406,0.0,0.01699542999267578,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,5,2075,2075,DE-MILP,PASS,1,0.26870480592810964,13.331295194071888,22.4,0.04478413432135216,0.0,0.04478413432135216,0.0,0.3006265163421631,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,5,2075,2075,SS-BW,PASS,0,5.985396935749275,7.614603064250724,22.4,0.9975661559582125,0.0,0.9975661559582125,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,5,2075,2075,SS-MILP,PASS,0,3.190293933653443,13.328151442468068,19.48155462387849,0.045308092921988896,0.4864075626869179,0.5317156556089069,0.0,0.0390019416809082,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,5,2075,2075,DE-MILP,PASS,1,0.30786417556843304,13.292135824431565,22.4,0.05131069592807258,0.0,0.05131069592807258,0.0,4.794002294540405,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,5,2075,2075,SS-BW,PASS,0,5.955912946568819,7.64408705343118,22.4,0.9926521577614699,0.0,0.9926521577614699,0.0,0.0010004043579101562,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,5,2075,2075,SS-MILP,PASS,0,3.223386757058101,13.283889350618018,19.492723892323884,0.05268510823033031,0.48454601794601926,0.5372311261763496,0.0,0.12958359718322754,common_replication_seed
