protocol_version,J,K,rep,seed_service,seed_lateness,method,patient,attended_stages,direct_burden,indirect_burden,total_burden,scenario_seed_mode
EJOR-SECTION52-PROTOCOL,4,50,1,2035,2035,SS-MILP,2,2,0.0,2.9123822332271354,2.9123822332271354,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,1,2035,2035,SS-MILP,3,2,0.042612068736642694,0.0,0.042612068736642694,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,1,2035,2035,DE-MILP,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,1,2035,2035,DE-MILP,1,1,0.22951976135936958,0.0,0.22951976135936958,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,1,2035,2035,DE-MILP,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,1,2035,2035,DE-MILP,3,2,0.04497356964843302,0.0,0.04497356964843302,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,1,2035,2035,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,1,2035,2035,SS-BW,1,1,1.9478015841971041,0.0,1.9478015841971041,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,1,2035,2035,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,1,2035,2035,SS-BW,3,2,3.977130566812728,0.0,3.977130566812728,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,1,2035,2035,SS-MILP,0,1,0.25583516589402144,0.0,0.25583516589402144,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,1,2035,2035,SS-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,1,2035,2035,SS-MILP,2,2,0.0,2.904629379715174,2.904629379715174,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,1,2035,2035,SS-MILP,3,2,0.04497356964843302,0.0,0.04497356964843302,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,1,2035,2035,DE-MILP,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,1,2035,2035,DE-MILP,1,1,0.24465981279903204,0.0,0.24465981279903204,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,1,2035,2035,DE-MILP,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,1,2035,2035,DE-MILP,3,2,0.04870066632098036,0.0,0.04870066632098036,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,1,2035,2035,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,1,2035,2035,SS-BW,1,1,1.9516034381298277,0.0,1.9516034381298277,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,1,2035,2035,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,1,2035,2035,SS-BW,3,2,4.000046711929025,0.0,4.000046711929025,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,1,2035,2035,SS-MILP,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,1,2035,2035,SS-MILP,1,1,0.24465981279903204,0.0,0.24465981279903204,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,1,2035,2035,SS-MILP,2,2,0.0,2.900706977096578,2.900706977096578,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,1,2035,2035,SS-MILP,3,2,0.04870066632098036,0.0,0.04870066632098036,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,2,2045,2045,DE-MILP,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,2,2045,2045,DE-MILP,1,1,0.04925313311443702,0.0,0.04925313311443702,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,2,2045,2045,DE-MILP,2,2,0.06235896952660669,0.0,0.06235896952660669,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,2,2045,2045,DE-MILP,3,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,2,2045,2045,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,2,2045,2045,SS-BW,1,1,1.6788821594770134,0.0,1.6788821594770134,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,2,2045,2045,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,2,2045,2045,SS-BW,3,2,4.0160853264940775,0.0,4.0160853264940775,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,2,2045,2045,SS-MILP,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,2,2045,2045,SS-MILP,1,1,0.04925313311443702,0.0,0.04925313311443702,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,2,2045,2045,SS-MILP,2,2,0.06235896952660669,0.8339034733136743,0.896262442840281,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,2,2045,2045,SS-MILP,3,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,2,2045,2045,DE-MILP,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,2,2045,2045,DE-MILP,1,1,0.12421578318390303,0.0,0.12421578318390303,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,2,2045,2045,DE-MILP,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,2,2045,2045,DE-MILP,3,2,0.06126651736164401,0.0,0.06126651736164401,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,2,2045,2045,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,2,2045,2045,SS-BW,1,1,1.8022953649091855,0.0,1.8022953649091855,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,2,2045,2045,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,2,2045,2045,SS-BW,3,2,4.012680873504486,0.0,4.012680873504486,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,2,2045,2045,SS-MILP,0,1,0.22477465915702144,0.0,0.22477465915702144,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,2,2045,2045,SS-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,2,2045,2045,SS-MILP,2,2,0.0,2.9055188677550445,2.9055188677550445,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,2,2045,2045,SS-MILP,3,2,0.06126651736164401,0.0,0.06126651736164401,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,2,2045,2045,DE-MILP,0,1,0.0,0.0,0.0,common_replication_seed
