protocol_version,J,K,kappa,rep,seed_service,seed_lateness,tau_mean,psi_mean,status,certified,solver_obj,validated_obj,alpha_sum,beta_sum,validation_status,validation_max_violation,runtime_sec,build_sec,solve_sec,solver_bound,relative_gap,scenario_seed_mode
EJOR-SECTION54-PROTOCOL,4,50,0.25,4,2065,2065,0.05144505669483634,0.02497390612512316,STATUS_2,1,0.22435735379455934,0.22435735379455934,13.375642646205442,22.4,PASS,0.0,0.3557145595550537,0.05810832977294922,0.2976062297821045,0.2243573537945558,3.552713678800501e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,0.75,4,2065,2065,0.15433517008450898,0.07492171837536947,STATUS_2,1,0.2531834847380008,0.25318348473800256,13.346816515261997,22.4,PASS,0.0,0.3516561985015869,0.05500030517578125,0.29665589332580566,0.253183484737999,1.7763568394002505e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,1.0,4,2065,2065,0.20578022677934535,0.09989562450049264,STATUS_2,1,0.2675965502097277,0.26759655020972417,13.332403449790274,22.4,PASS,0.0,0.36190247535705566,0.05399823188781738,0.3079042434692383,0.26759655020972595,1.7763568394002505e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,1.5,4,2065,2065,0.3024440691370827,0.14984343675073894,STATUS_2,1,0.29012789296774244,0.2901278929677389,13.309872107032259,22.4,PASS,0.0,0.35114169120788574,0.05200505256652832,0.2991366386413574,0.29012789296774244,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,2.0,4,2065,2065,0.37283013438094437,0.19979124900098527,STATUS_2,1,0.28681656933555644,0.28681656933555644,13.313183430664443,22.4,PASS,0.0,0.35665273666381836,0.05900096893310547,0.2976517677307129,0.28681656933555644,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,0.0,4,2065,2065,0.0,0.0,STATUS_2,1,0.2358914836565411,0.23589148365654466,13.364108516343453,22.4,PASS,0.0,2.7750937938690186,0.21382951736450195,2.5612642765045166,0.23589148365653578,5.329070518200751e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,0.25,4,2065,2065,0.05037312414677999,0.02529675664134171,STATUS_2,1,0.24935470180817632,0.2493547018079667,13.35064529819203,22.4,PASS,0.0,4.626242399215698,0.2130887508392334,4.413153648376465,0.24935470180817987,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,0.75,4,2065,2065,0.15111937244033996,0.07589026992402513,STATUS_2,1,0.2782230416857452,0.2782230416856848,13.32177695831431,22.4,PASS,0.0,4.967230558395386,0.21301555633544922,4.7542150020599365,0.27822304168574874,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,1.0,4,2065,2065,0.20149249658711996,0.10118702656536684,STATUS_2,1,0.29360029163726153,0.2936002916372331,13.306399708362767,22.4,PASS,0.0,4.978168725967407,0.2115163803100586,4.766652345657349,0.2936002916372651,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,1.5,4,2065,2065,0.2970476417368239,0.15178053984805026,STATUS_2,1,0.3176475677872048,0.3176475677871693,13.282352432212825,22.4,PASS,0.0,4.928813934326172,0.2156074047088623,4.71320652961731,0.3176475677872084,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,2.0,4,2065,2065,0.3683808131010078,0.20237405313073367,STATUS_2,1,0.3162663185878074,0.31626631858776477,13.28373368141223,22.4,PASS,0.0,4.933922290802002,0.22203278541564941,4.7118895053863525,0.31626631858781096,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,0.0,4,2065,2065,0.0,0.0,STATUS_2,1,0.2600167227504393,0.2600167227504855,13.339983277249505,22.4,PASS,0.0,16.339187622070312,0.5389447212219238,15.800242900848389,0.26001672275047305,0.0,common_replication_seed
